symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,pnl_usdt,pnl_r
ETH/USDT,long,2026-04-13 13:08:00+00:00,2026-04-13 13:37:00+00:00,2194.6,2188.332246,2207.135508,2188.332246,0.797734,loss,-5.0,-1.0
ETH/USDT,short,2026-04-13 13:40:00+00:00,2026-04-13 13:42:00+00:00,2184.4,2193.4386,2166.3228,2193.4386,0.550417,loss,-4.975,-1.0
ETH/USDT,long,2026-04-13 13:44:00+00:00,2026-04-13 13:44:00+00:00,2187.36,2184.073098,2193.933804,2193.933804,1.506015,win,9.9002,2.0
ETH/USDT,long,2026-04-13 13:59:00+00:00,2026-04-13 14:55:00+00:00,2208.98,2202.65938,2221.62124,2221.62124,0.791003,win,9.9993,2.0
ETH/USDT,long,2026-04-13 14:14:00+00:00,2026-04-13 14:34:00+00:00,2206.65,2202.689374,2214.571252,2214.571252,1.262332,win,9.9993,2.0
ETH/USDT,long,2026-04-13 14:36:00+00:00,2026-04-13 14:57:00+00:00,2216.07,2212.617388,2222.975224,2222.975224,1.462551,win,10.0992,2.0
ETH/USDT,long,2026-04-13 14:45:00+00:00,2026-04-13 15:00:00+00:00,2221.19,2217.85634,2227.85732,2227.85732,1.514738,win,10.0992,2.0
ETH/USDT,long,2026-04-13 14:59:00+00:00,2026-04-13 15:00:00+00:00,2223.92,2220.475816,2230.808368,2230.808368,1.495308,win,10.3002,2.0
ETH/USDT,short,2026-04-13 15:11:00+00:00,2026-04-13 15:27:00+00:00,2218.6,2222.19435,2211.4113,2211.4113,1.461213,win,10.5042,2.0
ETH/USDT,short,2026-04-13 15:39:00+00:00,2026-04-13 15:56:00+00:00,2201.7,2206.89129,2191.31742,2206.89129,1.021833,loss,-5.3046,-1.0
ETH/USDT,long,2026-04-13 16:21:00+00:00,2026-04-13 17:30:00+00:00,2219.75,2213.047302,2233.155396,2233.155396,0.787461,win,10.5562,2.0
ETH/USDT,long,2026-04-13 16:32:00+00:00,2026-04-13 16:56:00+00:00,2227.33,2223.775156,2234.439688,2223.775156,1.484766,loss,-5.2781,-1.0
ETH/USDT,long,2026-04-13 16:33:00+00:00,2026-04-13 17:30:00+00:00,2224.22,2220.0559,2232.5482,2232.5482,1.267527,win,10.5562,2.0
