symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,gross_pnl,fees_paid,pnl_usdt,pnl_r,liq_price
ETH/USDT,short,2026-01-20 15:20:00+00:00,2026-01-20 17:05:00+00:00,3033.295,3048.719622,3002.445756,3021.211488,0.006611,win,0.0799,0.02,0.0599,0.587,
ETH/USDT,long,2026-01-20 15:30:00+00:00,2026-01-20 16:40:00+00:00,3024.615,3004.019076,3065.806848,3004.019076,0.00663,loss,-0.1365,0.02,-0.1565,-1.146,
ETH/USDT,short,2026-01-20 16:50:00+00:00,2026-01-20 20:15:00+00:00,3010.975,3021.974274,2988.976452,2999.606188,0.006649,win,0.0756,0.02,0.0556,0.76,
ETH/USDT,short,2026-01-20 17:40:00+00:00,2026-01-20 18:10:00+00:00,2999.37,3003.010482,2992.089036,3003.010482,0.006693,loss,-0.0244,0.0201,-0.0445,-1.824,
ETH/USDT,short,2026-01-20 17:55:00+00:00,2026-01-20 18:10:00+00:00,3005.81,3010.041888,2997.346224,3005.81,0.006678,loss,0.0,0.0201,-0.0201,-0.71,
ETH/USDT,long,2026-01-20 20:00:00+00:00,2026-01-20 20:10:00+00:00,2991.45,2987.192442,2999.965116,2987.192442,0.006707,loss,-0.0286,0.02,-0.0486,-1.702,
ETH/USDT,long,2026-01-20 20:30:00+00:00,2026-01-20 22:25:00+00:00,2995.86,2985.532774,3016.514452,2985.532774,0.006698,loss,-0.0692,0.02,-0.0892,-1.29,
ETH/USDT,short,2026-01-20 20:45:00+00:00,2026-01-20 20:50:00+00:00,2999.745,3004.120704,2990.993592,2999.745,0.006688,loss,0.0,0.0201,-0.0201,-0.686,
ETH/USDT,short,2026-01-20 23:55:00+00:00,2026-01-21 00:00:00+00:00,2938.85,2944.618806,2927.312388,2944.618806,0.00682,loss,-0.0393,0.0201,-0.0594,-1.51,
ETH/USDT,long,2026-01-21 00:35:00+00:00,2026-01-21 02:30:00+00:00,2931.77,2925.934696,2943.440608,2959.814095,0.006833,win,0.1916,0.0201,0.1715,4.301,
ETH/USDT,long,2026-01-21 01:20:00+00:00,2026-01-21 02:25:00+00:00,2963.255,2958.348212,2973.068576,2963.255,0.006759,loss,0.0,0.02,-0.02,-0.604,
ETH/USDT,short,2026-01-21 02:40:00+00:00,2026-01-21 03:20:00+00:00,2965.935,2972.024286,2953.756428,2972.024286,0.006764,loss,-0.0412,0.0201,-0.0613,-1.488,
ETH/USDT,long,2026-01-21 02:50:00+00:00,2026-01-21 03:00:00+00:00,2961.33,2957.798322,2968.393356,2961.33,0.006774,loss,0.0,0.0201,-0.0201,-0.839,
