symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,gross_pnl,fees_paid,pnl_usdt,pnl_r,liq_price
ETH/USDT,long,2025-04-03 09:35:00+00:00,2025-04-03 09:45:00+00:00,1824.386737,1821.025722,1840.0,1840.0,0.011657,win,0.182,0.0214,0.1606,4.1,
ETH/USDT,long,2025-04-03 22:05:00+00:00,2025-04-03 23:05:00+00:00,1808.478787,1802.629402,1898.0,1898.0,0.011777,win,1.0543,0.0218,1.0325,14.988,
ETH/USDT,long,2025-04-03 22:40:00+00:00,2025-04-03 23:05:00+00:00,1810.674885,1807.758376,1898.0,1807.758376,0.011762,loss,-0.0343,0.0213,-0.0556,-1.62,
ETH/USDT,long,2025-04-03 23:40:00+00:00,2025-04-04 01:55:00+00:00,1813.456275,1810.477832,1898.0,1810.477832,0.011853,loss,-0.0353,0.0215,-0.0568,-1.608,
ETH/USDT,short,2025-04-04 01:10:00+00:00,2025-04-04 01:55:00+00:00,1813.058018,1816.933314,1798.55,1798.55,0.011854,win,0.172,0.0214,0.1506,3.278,
ETH/USDT,short,2025-04-04 03:15:00+00:00,2025-04-04 03:20:00+00:00,1789.74468,1792.378404,1780.0,1792.378404,0.01202,loss,-0.0317,0.0215,-0.0532,-1.68,
ETH/USDT,long,2025-04-04 03:30:00+00:00,2025-04-04 04:05:00+00:00,1790.284695,1785.402848,1814.94,1785.402848,0.012011,loss,-0.0586,0.0215,-0.0801,-1.366,
ETH/USDT,short,2025-04-04 03:45:00+00:00,2025-04-04 05:15:00+00:00,1791.298903,1794.788886,1780.0,1794.788886,0.012003,loss,-0.0419,0.0215,-0.0634,-1.514,
ETH/USDT,long,2025-04-04 04:35:00+00:00,2025-04-04 04:40:00+00:00,1788.878993,1786.412646,1797.49,1786.412646,0.01201,loss,-0.0296,0.0215,-0.0511,-1.725,
ETH/USDT,long,2025-04-04 05:45:00+00:00,2025-04-04 05:55:00+00:00,1800.489795,1796.970534,1814.94,1814.94,0.011921,win,0.1723,0.0215,0.1507,3.592,
ETH/USDT,long,2025-04-04 06:05:00+00:00,2025-04-04 06:35:00+00:00,1804.131615,1800.799768,1900.0,1800.799768,0.011914,loss,-0.0397,0.0215,-0.0612,-1.541,
ETH/USDT,short,2025-04-04 06:45:00+00:00,2025-04-04 06:55:00+00:00,1801.17896,1803.590646,1787.19,1803.590646,0.011926,loss,-0.0288,0.0215,-0.0503,-1.747,
ETH/USDT,long,2025-04-04 07:30:00+00:00,2025-04-04 08:15:00+00:00,1809.514305,1806.6386,1890.0,1890.0,0.011866,win,0.955,0.0219,0.9331,27.345,
ETH/USDT,long,2025-04-04 08:25:00+00:00,2025-04-04 10:05:00+00:00,1826.157622,1820.045918,1890.0,1820.045918,0.01186,loss,-0.0725,0.0216,-0.0941,-1.298,
ETH/USDT,long,2025-04-05 01:00:00+00:00,2025-04-05 01:20:00+00:00,1820.279685,1817.446438,1829.67,1829.67,0.011888,win,0.1116,0.0217,0.0899,2.67,
