id,opened_at,closed_at,symbol,direction,entry_price,exit_price,sl_price,tp_price,qty,risk_usdt,pnl_usdt,pnl_pct,rr,close_reason,duration_min
1,2026-04-29 06:55:18,2026-04-29 07:32:01,ETH/USDT,short,2321.8600,2326.7900,,,0.001000,,-2.5016,,,stop_loss,36.7
2,2026-04-29 07:35:18,2026-04-29 07:56:50,ETH/USDT,long,2327.0600,2321.4100,,,0.426000,,-3.1990,,,stop_loss,21.5
3,2026-04-29 08:35:27,2026-04-29 09:14:12,ETH/USDT,short,2321.6000,2326.0900,,,0.424000,,-2.7030,,,stop_loss,38.8
4,2026-04-29 12:45:17,2026-04-29 13:01:34,BNB/USDT,long,623.9400,625.9900,,,1.580000,,0.4911,,,take_profit,16.3
5,2026-04-29 13:17:27,2026-04-29 13:17:27,ETH/USDT,short,2312.3000,2316.3600,,,0.010000,,-0.9975,,,stop_loss,0.0
6,2026-04-29 13:19:01,2026-04-29 13:24:49,ETH/USDT,short,2314.8700,2308.3400,,,0.426000,,2.1907,,,take_profit,5.8
7,2026-04-29 16:45:45,2026-04-29 16:45:46,ETH/USDT,short,2274.0000,2274.0200,,,0.034000,,-0.1041,,,stop_loss,0.0
8,2026-04-29 16:46:31,2026-04-29 16:46:31,ETH/USDT,short,2265.9300,2265.9400,,,0.427000,,-0.7783,,,stop_loss,0.0
9,2026-04-29 16:47:28,2026-04-29 16:47:28,ETH/USDT,short,2266.9900,2267.0000,,,0.426000,,-0.7769,,,stop_loss,0.0
10,2026-04-29 16:47:51,2026-04-29 16:47:51,ETH/USDT,short,2266.9100,2267.1200,,,0.003000,,-0.4785,,,stop_loss,0.0
11,2026-04-29 16:48:25,2026-04-29 16:48:25,ETH/USDT,short,2267.0400,2267.0900,,,0.426000,,-0.7939,,,stop_loss,0.0
12,2026-04-29 16:49:01,2026-04-29 16:49:01,ETH/USDT,short,2266.9800,2267.1100,,,0.426000,,-0.8280,,,stop_loss,0.0
13,2026-04-29 16:49:25,2026-04-29 16:49:25,ETH/USDT,short,2266.6800,2267.1400,,,0.426000,,-0.9685,,,stop_loss,0.0
14,2026-04-29 16:49:48,2026-04-29 16:49:49,ETH/USDT,short,2267.1800,2267.2600,,,0.426000,,-0.8067,,,stop_loss,0.0
15,2026-04-29 16:50:35,2026-04-29 16:50:35,ETH/USDT,short,2266.1300,2267.2100,,,0.426000,,-0.4040,,,stop_loss,0.0
16,2026-04-29 16:51:54,2026-04-29 16:51:54,ETH/USDT,short,2265.2100,2265.2500,,,0.426000,,-0.7890,,,stop_loss,0.0
17,2026-04-29 16:54:48,2026-04-29 16:54:48,ETH/USDT,short,2266.7400,2266.9700,,,0.426000,,-0.8705,,,stop_loss,0.0
18,2026-04-29 16:56:19,2026-04-29 16:56:20,ETH/USDT,short,2266.5000,2266.6600,,,0.426000,,-0.8406,,,stop_loss,0.0
19,2026-04-29 16:57:39,2026-04-29 16:57:39,ETH/USDT,short,2265.5100,2265.5200,,,0.426000,,-0.7763,,,stop_loss,0.0
20,2026-04-29 17:05:50,2026-04-29 18:08:34,ETH/USDT,long,2274.0000,2264.8300,,,0.275000,,-4.6332,,,stop_loss,62.7
21,2026-04-29 17:05:24,2026-04-29 18:09:30,BNB/USDT,long,618.8900,617.3600,,,1.590000,,-3.2190,,,stop_loss,64.1
22,2026-04-30 09:08:31,2026-04-30 09:29:21,ETH/USDT,short,2255.1600,2260.7300,,,0.402000,,-2.9653,,,stop_loss,20.8
23,2026-04-30 09:07:54,2026-04-30 09:30:11,BNB/USDT,short,617.2200,618.1500,,,1.590000,,-2.2644,,,stop_loss,22.3
24,2026-04-30 09:30:45,2026-04-30 10:28:48,ETH/USDT,long,2263.1200,2256.5100,,,0.214000,,-3.3509,,,stop_loss,58.1
25,2026-04-30 10:34:01,2026-04-30 11:00:56,ETH/USDT,short,2259.8600,2261.6000,,,0.068000,,-1.1465,,,stop_loss,26.9
26,2026-04-30 10:24:32,2026-04-30 11:46:15,BNB/USDT,long,616.2800,615.2500,,,1.470000,,-2.2382,,,stop_loss,81.7
27,2026-04-30 14:06:28,2026-04-30 14:16:29,ETH/USDT,long,2267.4700,2256.5100,,,0.418000,,-2.7161,,,stop_loss,10.0
28,2026-04-30 15:00:11,2026-04-30 16:55:55,ETH/USDT,short,2263.7700,2256.7300,,,0.245000,,-3.5712,,,stop_loss,115.7
29,2026-04-30 16:19:01,2026-04-30 17:17:32,XRP/USDT,short,1.3673,1.3629,,,662.000000,,2.3703,,,take_profit,58.5
30,2026-04-30 17:56:30,2026-04-30 18:02:09,XRP/USDT,short,1.3668,1.3698,,,660.000000,,-0.3750,,,stop_loss,5.7
31,2026-05-01 01:51:50,2026-05-01 02:20:40,XRP/USDT,long,1.3709,1.3678,,,711.900000,,-2.9868,,,stop_loss,28.8
